,win,one1,one2,one3,one4,one5,two1,two2,two3,two4,two5
0,1,Garen,Zac,Tristana,Vayne,Alistar,Renekton,Graves,Veigar,Xayah,Xerath
1,0,TahmKench,Olaf,Taliyah,Lucian,Teemo,Irelia,Evelynn,Heimerdinger,MissFortune,Brand
2,1,Chogath,Olaf,Lux,Tristana,Soraka,MonkeyKing,Hecarim,Vex,Jinx,Renata
3,0,Yorick,Nocturne,Fizz,Jinx,Lux,Sett,Zac,Ekko,Tristana,Velkoz
4,0,Malphite,Elise,Yasuo,Tristana,Lulu,Gwen,Jax,Ekko,Twitch,Yuumi
5,0,Sion,Khazix,Viktor,Caitlyn,Sona,Graves,Hecarim,Teemo,Draven,Lulu
6,0,Chogath,Nocturne,Lux,Ezreal,Brand,Fiora,Warwick,Diana,Jinx,Bard
7,0,DrMundo,Volibear,Annie,Yasuo,Lulu,Chogath,Viego,Tristana,Lucian,Rakan
8,0,Mordekaiser,Sion,Akali,Vayne,Nami,Sett,Ekko,Chogath,Ezreal,Yuumi
9,0,Gwen,Volibear,Yasuo,Jhin,Karma,DrMundo,Shaco,Malzahar,Ezreal,Janna
10,1,Illaoi,Evelynn,Yone,Tristana,Morgana,Jayce,Kayn,Zed,MissFortune,Senna
11,1,Yorick,MasterYi,Zoe,Ezreal,Blitzcrank,Samira,Viego,Veigar,Zeri,Zilean
12,0,DrMundo,Taliyah,Ahri,Kaisa,Nami,Darius,LeeSin,Yasuo,Senna,Twitch
13,0,Camille,Graves,Sylas,Twitch,Yuumi,Garen,Nocturne,Galio,MissFortune,Xerath
14,1,Kayle,MasterYi,Xerath,Caitlyn,Gragas,MonkeyKing,LeeSin,Fizz,Ezreal,Nautilus
15,0,Trundle,Warwick,Sylas,Vayne,Rakan,Gangplank,Kindred,Heimerdinger,Sivir,Lux
16,0,Irelia,MonkeyKing,Anivia,MissFortune,Yuumi,Yorick,Karthus,Heimerdinger,Lucian,Nami
17,1,Renekton,Hecarim,Swain,Varus,Soraka,Gangplank,Graves,Yasuo,Veigar,Rell
18,1,Gwen,Vi,Yone,Vayne,Leona,Sett,MasterYi,Taliyah,Twitch,Yuumi
19,1,Chogath,Elise,Lux,Jhin,Ashe,Mordekaiser,JarvanIV,Seraphine,Zeri,Swain
20,0,Camille,Volibear,Zed,Kaisa,Nautilus,Sett,Graves,Qiyana,MissFortune,Xerath
21,0,Chogath,Diana,Tristana,Karthus,Brand,Mordekaiser,Graves,Qiyana,KogMaw,Blitzcrank
22,1,Volibear,Zac,Talon,Samira,Alistar,Malphite,Khazix,Lux,MissFortune,Karma
23,0,Gnar,Gwen,Neeko,Jinx,Senna,Sett,Kayn,Leblanc,Jhin,Nami
24,0,Teemo,Hecarim,Syndra,Vayne,Nautilus,Yasuo,Warwick,Katarina,Caitlyn,Soraka
25,0,Vi,Khazix,Viktor,Tristana,Nami,Shen,Olaf,Rakan,Ezreal,Bard
26,1,Olaf,MasterYi,Ahri,Swain,Senna,Darius,MonkeyKing,Akshan,Jinx,Yuumi
27,1,Olaf,Rengar,Tristana,Kaisa,Senna,Sion,Khazix,Azir,Jhin,Rakan
28,1,Camille,Kindred,Yasuo,Ashe,Shaco,Chogath,Zed,Lux,Jayce,Renata
29,1,Volibear,Khazix,Ryze,Ezreal,Zilean,MonkeyKing,Shaco,Veigar,Kaisa,Thresh
30,0,Chogath,Graves,Lux,Ezreal,Nautilus,Warwick,Viego,Veigar,Caitlyn,Yuumi
31,1,Mordekaiser,Nocturne,Yasuo,Jhin,Rakan,Malphite,Vi,Viktor,Xayah,Senna
32,0,Tryndamere,MonkeyKing,Veigar,Jinx,Senna,Sion,Khazix,Yasuo,Sivir,Seraphine
33,0,Yorick,Skarner,Annie,Twitch,Cassiopeia,Urgot,Graves,Rumble,Kaisa,Swain
34,0,Mordekaiser,Zac,Karthus,Draven,Thresh,Volibear,Ekko,Xerath,Lucian,Nami
35,1,Volibear,Ivern,Yone,Malzahar,Xerath,Gwen,Warwick,Tristana,MissFortune,Leona
36,1,Poppy,Diana,Kaisa,Zeri,Senna,Gangplank,Nunu,Ziggs,Caitlyn,Soraka
37,0,Volibear,Shaco,Kassadin,Caitlyn,Lux,Singed,LeeSin,Fizz,Ezreal,Brand
38,1,Renekton,Rammus,Tryndamere,Ezreal,Shaco,Teemo,Trundle,Xerath,Zeri,Karma
39,0,DrMundo,Shyvana,Irelia,Twitch,Nautilus,Jax,Lillia,Riven,Draven,Senna
40,1,Mordekaiser,LeeSin,Anivia,Vayne,Poppy,Rengar,Tristana,Yasuo,Shaco,Lux
41,0,Chogath,Viego,Lux,Sivir,Varus,Graves,Kayn,Katarina,Ezreal,Brand
42,1,Camille,Viego,Heimerdinger,Ashe,Senna,Zed,Karthus,Kassadin,Zeri,Lulu
43,0,Volibear,Zac,Leblanc,Lucian,Leona,Urgot,Kayn,Tristana,Vayne,Nautilus
44,1,Jax,Diana,Katarina,Jinx,Renata,Shaco,Kindred,Malzahar,Ezreal,Trundle
45,1,Volibear,Udyr,Yasuo,Viktor,Lux,Shyvana,Nocturne,Annie,Twitch,Nidalee
46,1,Garen,Olaf,Leblanc,Vayne,Senna,Mordekaiser,Rammus,Annie,Twitch,Shaco
47,0,Darius,Warwick,Orianna,Jinx,Pyke,Sett,Graves,Corki,Ezreal,Nami
48,1,Gwen,Darius,TahmKench,MissFortune,Sona,Kayle,Vi,Yone,Jhin,Lulu
49,0,Nasus,Khazix,Malzahar,Samira,Nami,Kayle,MonkeyKing,Fizz,Ezreal,Lux
